,month,time,weather,temperature,humidity,pressure,wind_speed,wind_direction
0,April,00,broken clouds,285.41096163240667,53.067567567567565,1018.22,4.166666666666667,197.02
1,April,01,scattered clouds,284.48535009976,56.56551724137931,1018.78,3.933333333333333,193.90666666666667
2,April,02,broken clouds,283.6057469066,60.121428571428574,1019.3825503355705,3.5933333333333333,194.82
3,April,03,clear sky,283.10641521102,60.30821917808219,1019.2133333333334,3.6466666666666665,189.94
4,April,04,clear sky,282.47211776214664,61.986301369863014,1019.2333333333333,3.3933333333333335,194.84
5,April,05,clear sky,282.01607110195334,63.49333333333333,1019.4733333333334,3.4133333333333336,195.04666666666665
6,April,06,clear sky,281.55423407242665,65.32876712328768,1019.08,3.4066666666666667,186.10666666666665
7,April,07,clear sky,281.19407605912,65.89041095890411,1018.9466666666667,3.1533333333333333,188.85333333333332
8,April,08,clear sky,280.72172756999333,68.71428571428571,1019.08,3.22,181.04
9,April,09,clear sky,280.56564767762,68.94557823129252,1019.1666666666666,3.0733333333333333,175.76
10,April,10,clear sky,280.32493212184,69.11724137931034,1019.3466666666667,3.033333333333333,173.06666666666666
11,April,11,clear sky,280.41281471879336,71.63945578231292,1020.1266666666667,3.2,170.36
12,April,12,broken clouds,281.43932549491336,66.16438356164383,1020.2080536912752,3.3,177.38666666666666
13,April,13,clear sky,282.49374363959333,63.89115646258504,1020.16,3.4466666666666668,167.98666666666668
14,April,14,clear sky,283.97473982481335,57.51700680272109,1020.4466666666667,3.9066666666666667,171.11333333333334
15,April,15,scattered clouds,284.9882015489,53.97278911564626,1019.9333333333333,4.066666666666666,179.18
16,April,16,broken clouds,286.2036736195067,50.472972972972975,1020.0066666666667,4.226666666666667,189.16
17,April,17,broken clouds,287.0309678356733,48.97260273972603,1019.6333333333333,4.34,179.21333333333334
18,April,18,broken clouds,287.60574415563997,47.00699300699301,1018.8187919463087,4.3533333333333335,186.08666666666667
19,April,19,broken clouds,288.13809963585334,44.44897959183673,1018.4,4.806666666666667,186.38666666666666
20,April,20,broken clouds,288.20218000514666,45.0945945945946,1018.24,4.913333333333333,186.91333333333333
21,April,21,broken clouds,287.8134102835533,46.24832214765101,1017.8533333333334,5.04,185.17333333333335
22,April,22,broken clouds,287.28671229489333,47.851351351351354,1017.9466666666667,4.786666666666667,199.06
23,April,23,broken clouds,286.4492729473,50.53793103448276,1018.46,4.733333333333333,192.56
24,August,00,clear sky,297.7246940860193,59.0258064516129,1014.0322580645161,2.7806451612903227,191.3483870967742
25,August,01,clear sky,296.49633548387095,64.23870967741935,1014.3290322580646,2.470967741935484,193.16129032258064
26,August,02,clear sky,295.64219784946454,65.92903225806451,1014.1096774193549,2.470967741935484,198.94838709677418
27,August,03,clear sky,295.0152666666645,70.69032258064516,1013.9870967741936,2.4387096774193546,189.8967741935484
28,August,04,clear sky,294.4537526881742,71.34838709677419,1013.9935483870968,2.393548387096774,198.1483870967742
29,August,05,clear sky,293.95787096774194,74.5741935483871,1013.6838709677419,2.174193548387097,199.56774193548387
30,August,06,mist,293.5210215574387,74.96774193548387,1013.516129032258,2.193548387096774,201.3483870967742
31,August,07,mist,293.0617784946258,78.04516129032258,1013.7225806451613,2.1354838709677417,201.68387096774194
32,August,08,mist,292.73902997196774,78.25806451612904,1013.9032258064516,2.1354838709677417,198.94838709677418
33,August,09,mist,292.4186951720903,80.29032258064517,1012.4580645161291,1.9870967741935484,190.25806451612902
34,August,10,mist,292.2036169203871,80.86451612903225,1013.5548387096774,2.0709677419354837,193.45806451612904
35,August,11,mist,292.4724939440645,81.81935483870967,1014.2709677419355,1.9935483870967743,187.2258064516129
36,August,12,mist,293.90859766027745,77.36129032258064,1014.2,2.1161290322580646,192.84516129032258
37,August,13,clear sky,295.45223010752903,72.51612903225806,1014.8064516129032,2.225806451612903,184.90322580645162
38,August,14,clear sky,296.89787814461937,65.27096774193548,1014.6645161290322,2.567741935483871,181.78064516129032
39,August,15,clear sky,298.128652168929,60.49032258064516,1014.2322580645161,2.6516129032258067,181.09032258064516
40,August,16,clear sky,299.1374452462645,56.12903225806452,1014.8709677419355,2.7870967741935484,186.69677419354838
41,August,17,clear sky,299.8439605580645,53.193548387096776,1014.6903225806452,2.8774193548387097,181.80645161290323
42,August,18,clear sky,300.27552524399357,51.49032258064516,1013.8451612903226,2.9483870967741934,180.28387096774193
43,August,19,clear sky,300.5114342018,50.28387096774193,1013.7548387096774,3.1161290322580646,194.90322580645162
44,August,20,clear sky,300.48785591398064,50.935483870967744,1013.7161290322581,3.161290322580645,185.0
45,August,21,clear sky,300.25214156596127,51.42580645161291,1013.0,3.4064516129032256,197.59354838709677
46,August,22,clear sky,299.78344946236126,53.27741935483871,1013.1096774193549,3.129032258064516,189.68387096774194
47,August,23,clear sky,298.95343446594194,56.20645161290322,1013.6129032258065,3.0258064516129033,185.36129032258066
48,December,00,clear sky,277.9586913785548,70.93464052287581,1017.1960784313726,3.445161290322581,201.18709677419355
49,December,01,clear sky,277.70856225153545,71.13636363636364,1017.9155844155844,3.535483870967742,201.04516129032257
50,December,02,clear sky,277.3185893604774,71.85620915032679,1018.941935483871,3.445161290322581,207.46451612903226
51,December,03,clear sky,277.08546501079354,73.21710526315789,1018.4451612903226,3.6,208.67096774193547
52,December,04,clear sky,276.92015836935485,71.52941176470588,1017.9870967741936,3.5161290322580645,202.30322580645162
53,December,05,clear sky,276.79931833503224,74.20134228187919,1018.6129032258065,3.445161290322581,206.60645161290321
54,December,06,clear sky,276.57665845011616,74.49333333333334,1017.577922077922,3.2903225806451615,205.33548387096775
55,December,07,clear sky,276.4369512604194,74.25827814569537,1017.6838709677419,3.445161290322581,199.00645161290322
56,December,08,clear sky,276.3184720342839,74.94701986754967,1018.8387096774194,3.0258064516129033,205.19354838709677
57,December,09,clear sky,276.0588354027355,76.00653594771242,1017.7935483870967,3.2516129032258063,210.5483870967742
58,December,10,clear sky,275.9075668576645,75.8,1017.7354838709678,3.1548387096774193,205.32258064516128
59,December,11,clear sky,275.69476558964516,76.82666666666667,1018.2467532467532,3.174193548387097,206.2258064516129
60,December,12,clear sky,275.93288390447094,78.01960784313725,1018.2077922077922,3.129032258064516,206.2258064516129
